BOM ID Number,Total Cost,Part Name,Functional Description
1,$10.58 ,Soldering Iron Kit,"Durable equipment used to heat-set M4 threaded inserts into 3D-printed router-sled jigs, enabling repeatable clamp installation and safe, rapid reconfiguration of fixtures across batches; long-life tool asset that preserves interchangeability. 80W 110V Fast Heat up in 10s LCD Digital Adjustable Temperature Soldering Gun Thermostatic "
2,$19.16 ,Respirator Cartridge/Filter ,"Replaceable respiratory filters that protect the operator from organic vapors, acid gases, and particulates during cutting/laser/finishing; low-cost consumables stocked and rotated to maintain safe, continuous operations. 3M P100 60923, 1 Pair, NIOSH Approved, Helps Protect Against Organic Vapors, Acid Gases, and Particulates, Magenta, Yellow"
3,$34.97 ,Reusable Respirator Half Facepiece,"Reusable PPE that seals to the face and, paired with cartridges, protects lungs during dusty/fume-generating processes; durable equipment with multi-year service supporting sustained production sessions. 3M, 7502, NIOSH, 3M Cool Flow Valve, Dual Airline Supplied Air Compatible, Integrated Dropdown Suspension, Bayonet Connections, For Chemical Handling, Painting, Med"
4,$19.16 ,Respirator Cartridge/Filter ,"Replaceable respiratory filters that protect the operator from organic vapors, acid gases, and particulates during cutting/laser/finishing; low-cost consumables stocked and rotated to maintain safe, continuous operations. 3M P100 60923, 1 Pair, NIOSH Approved, Helps Protect Against Organic Vapors, Acid Gases, and Particulates, Magenta, Yellow"
5,$9.05 , M4 Phillips Pan Head Machine Screws Washers Nuts Assortment Kit,"Fasteners embedded in 3D-printed fixtures to mount clamps and hardware; expendable supplies that enable repeatable workholding and reduce rework from part movement. 390Pcs M4 x 5mm /6mm /8mm /10mm /12mm /16mm /20mm, Metric 304 Stainless Steel Pan Head Fully Machine Thread Screws Bolts"
6,$9.52 ,M4 Heat Set Inserts,"Threaded inserts installed by heat into printed parts to provide durable M4 threads for clamps/fixtures; recurring supplies that keep jigs modular and interchangeable. Metric knurled Nuts Brass Heat Set Insert for Plastic Parts,Insert by Heat into 3D Printing Components (M4xL6xD6). Ktehloy 100Pcs "
7,$12.71 , M2 M2.5 Threaded Inserts for Plastic with Heat Set Tips,"Fine-thread inserts for small printed gauges/fixtures; expendable supplies extending modularity to light tooling and inspection aids. 300 Pcs, M2 & M2.5 Heat Set Inserts Kit,Brass Inserts for 3D Pringting"
8,$10.07 ,Toggle Clamp,"Reusable quick-release clamps that deliver consistent holding force on router-sled workpieces; tooling hardware that improves safety, throughput, and cut quality. POWERTEC 4PK, 60 lbs Holding Capacity, 201 Quick Release Horizontal Clamps w/ Antislip Rubber Pressure Tip for Woodworking Jigs and Fixtures, Welding, Drill Press, Crosscut Sled (20321)"
9,$9.50 ,Rubber Bands,"Stretch bands applied during glue-up to provide uniform pressure on curved faces of spherical forms; low-cost consumables that supplement clamps during cure and are replaced as they wear.  40 Pcs size#105 Big black rubber band large Elastic Band rubber bands office supplies Heavy Duty wide Strong Elastic bands Outdoor (5.12"" x 0.6""). HAIDIBAO-"
10,$6.03 ,Dispensing Needle Tips,"Fine-bore applicators used during alignment-pin bonding to place adhesive precisely in small holes on ribs and keystones; low-cost wear items treated as disposable assembly consumables. PATIKIL 16Ga x 1.5 Inch. 10Pcs Stainless Steel and Plastic Glue Needle Tube Blunt Tips with Luer Lock for Glue Oil Applicator, Gray"
11,$24.16 ,Roundover Router Bit Set,"Edge-forming cutters used to add a controlled radius to ornamental ribs; cutting tools subject to wear and managed as consumable tooling for design detailing. SICWOOD 6pcs,  Round Over Router Bits 1/4 Shank with 6 Bearings 3/8"", Carbide Corner Rounding Edge-Forming Bit, for Round Over Beading, for Rounding Trim..."
12,$179.14 ,Router,"Primary edge-profiling machine enabling consistent radius and decorative cuts on ribs; durable equipment with multi-batch utility that lifts throughput and finish quality. DEWALT, Fixed Base, 1-1/4 HP, 7.7-Amp, Variable Speed Trigger, Corded (DWP611)"
13,$30.73 ,Trapezoid Table Legs,"Structural components to build a stable router table at the required height for the enclosure; durable fixture furniture that improves repeatability and safety. ALXEH 8 Inch, DIY Furniture Metal Legs for Coffee Table, Bench Stool Cabinet Furniture Feet - Set of 2,  Black"
14,$7.26 ,Rubber Bands,"Elastic bands applied during glue-up to deliver uniform pressure across spherical forms; inexpensive consumables replaced routinely as they lose tension.  Size #94 (3 1/2'' x 3/4''), Wide Thick Large Strong Heavy Duty Rubber Bands for Office, Home, School, Industrial, Hunting, Outdoor Camping Survival, 25 Pack"
15,$8.00 ,Rubber Bands ,"Smaller elastic bands for targeted clamping on curved surfaces during glue-up; routine consumables that supplement mechanical clamps. Size #82 (2 1/2'' x 1/2''), 50 Pcs Wide Small Thick Strong Heavy Duty Rubber Bands Heat Cold UV Resistant for Hunting Hiking Camping Survival"
16,$26.49 ,Glass Storage Containers With Lids,"High-temperature vessels used to maintain controlled water baths (?195–200 °F) for conditioning ribs, promoting uniform lignin softening and reducing bend defects; durable process hardware reused across batches. Moss & Stone Extra Large. Set of 3, 101 Oz/ 54 Oz/ 16 Oz, Deep Rectangular Glass Food Container with Lid, Leak Proof, Microwave, Dishwasher & Oven Safe"
